hour,all_segments,direction_1: A Burgwedel -> Hauptbahnhof/ZOB,direction_2: Hauptbahnhof/ZOB -> A Burgwedel
0,448,355,93
1,203,115,88
2,123,123,0
3,123,123,0
4,271,253,18
5,578,365,213
6,714,464,250
7,1291,994,297
8,1532,1192,340
9,1899,1487,412
10,1854,1415,439
11,1668,1234,434
12,1723,1252,471
13,1949,1427,522
14,1968,1447,521
15,1970,1449,521
16,1974,1452,522
17,1967,1445,522
18,1942,1417,525
19,1773,1260,513
20,1619,1113,506
21,1264,831,433
22,906,716,190
23,645,471,174
